2022-12-01 13:37:20 INFO  Flipkart Test:85 - using browser chrome
   2022-12-01 13:37:22 INFO  Flipkart Test:94 - Initilising Driver
   2022-12-01 13:37:22 INFO  Flipkart Test:96 - Managing Timeouts
   2022-12-01 13:37:22 INFO  Flipkart Test:98 - Initilising Driver
   2022-12-01 13:37:22 INFO  Flipkart Test:99 - Maximize browser window
   2022-12-01 13:37:22 INFO  Flipkart Test:136 - Report Generation at : C:\Users\rupamdasgupta\eclipse-workspace\exit_test_selenium\test_reports\report.html
   2022-12-01 13:37:22 INFO  Flipkart Test:145 - Starting Test
   2022-12-01 13:37:22 INFO  Flipkart Test:153 - Starting Test Case :verify_color_scheme
   2022-12-01 13:38:33 INFO  Flipkart Test:196 - Test case success
   2022-12-01 13:38:33 INFO  Flipkart Test:213 - Ending Test Case :verify_color_scheme
   2022-12-01 13:38:33 INFO  Flipkart Test:153 - Starting Test Case :verify_logo_text
   2022-12-01 13:38:54 INFO  Flipkart Test:196 - Test case success
   2022-12-01 13:38:54 INFO  Flipkart Test:213 - Ending Test Case :verify_logo_text
   2022-12-01 13:38:54 INFO  Flipkart Test:153 - Starting Test Case :verify_flipkart_plus
   2022-12-01 13:39:15 INFO  Flipkart Test:196 - Test case success
   2022-12-01 13:39:15 INFO  Flipkart Test:213 - Ending Test Case :verify_flipkart_plus
   2022-12-01 13:39:15 INFO  Flipkart Test:153 - Starting Test Case :verify_grocery_link
   2022-12-01 13:39:37 INFO  Flipkart Test:196 - Test case success
   2022-12-01 13:39:37 INFO  Flipkart Test:213 - Ending Test Case :verify_grocery_link
   2022-12-01 13:39:37 INFO  Flipkart Test:153 - Starting Test Case :verify_mobile_link
   2022-12-01 13:39:58 INFO  Flipkart Test:196 - Test case success
   2022-12-01 13:39:58 INFO  Flipkart Test:213 - Ending Test Case :verify_mobile_link
   2022-12-01 13:39:58 INFO  Flipkart Test:153 - Starting Test Case :verify_appliance_link
   2022-12-01 13:40:20 INFO  Flipkart Test:196 - Test case success
   2022-12-01 13:40:20 INFO  Flipkart Test:213 - Ending Test Case :verify_appliance_link
   2022-12-01 13:40:20 INFO  Flipkart Test:153 - Starting Test Case :verify_travel_link
   2022-12-01 13:40:42 INFO  Flipkart Test:196 - Test case success
   2022-12-01 13:40:42 INFO  Flipkart Test:213 - Ending Test Case :verify_travel_link
   2022-12-01 13:40:42 INFO  Flipkart Test:153 - Starting Test Case :verify_top_offers_link
   2022-12-01 13:41:03 INFO  Flipkart Test:196 - Test case success
   2022-12-01 13:41:03 INFO  Flipkart Test:213 - Ending Test Case :verify_top_offers_link
   2022-12-01 13:41:03 INFO  Flipkart Test:153 - Starting Test Case :verify_two_wheelers_link
   2022-12-01 13:41:24 INFO  Flipkart Test:196 - Test case success
   2022-12-01 13:41:24 INFO  Flipkart Test:213 - Ending Test Case :verify_two_wheelers_link
   2022-12-01 13:41:25 INFO  Flipkart Test:153 - Starting Test Case :verify_product_search_using_click
   2022-12-01 13:41:47 INFO  Flipkart Test:196 - Test case success
   2022-12-01 13:41:47 INFO  Flipkart Test:213 - Ending Test Case :verify_product_search_using_click
   2022-12-01 13:41:47 INFO  Flipkart Test:153 - Starting Test Case :verify_product_search_using_click
   2022-12-01 13:42:09 INFO  Flipkart Test:196 - Test case success
   2022-12-01 13:42:09 INFO  Flipkart Test:213 - Ending Test Case :verify_product_search_using_click
   2022-12-01 13:42:09 INFO  Flipkart Test:153 - Starting Test Case :verify_product_search_using_keyPress
   2022-12-01 13:42:31 INFO  Flipkart Test:196 - Test case success
